learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,prediction error (average),true changes,delay detection (average),true changes detected,input values,model training instances,model serialized size (bytes)
10.0,0.0,0.0,10.0,0.0,0.0,0.12361111111111112,0.0,?,0.0,0.2,10.0,-1.0
20.0,0.0,0.0,20.0,0.0,0.0,0.2558889019047688,0.0,?,0.0,0.2,20.0,-1.0
30.0,0.0,0.0,30.0,0.0,0.0,0.2550990266470859,0.0,?,0.0,0.2,30.0,-1.0
40.0,0.0,0.0,40.0,0.0,0.0,0.30273463078929164,0.0,?,0.0,0.2,40.0,-1.0
50.0,0.0,0.0,50.0,0.0,0.0,0.32416256821631095,0.0,?,0.0,0.2,50.0,-1.0
60.0,0.0,0.0,60.0,1.0,0.0,0.3494230473887703,0.0,?,0.0,0.2,60.0,-1.0
70.0,0.0,0.0,70.0,1.0,0.0,0.35180808720727824,0.0,?,0.0,0.2,70.0,-1.0
80.0,0.0,0.0,80.0,1.0,0.0,0.3454972197929129,0.0,?,0.0,0.2,80.0,-1.0
90.0,0.0,0.0,90.0,1.0,0.0,0.34038302477612065,0.0,?,0.0,0.2,90.0,-1.0
100.0,0.0,0.0,100.0,1.0,0.0,0.33158038841666915,0.0,?,0.0,0.2,100.0,-1.0
110.0,0.0,0.0,110.0,1.0,0.0,0.3220281062680448,0.0,?,0.0,0.2,110.0,-1.0
120.0,0.0,0.0,120.0,1.0,0.0,0.3197569423142621,0.0,?,0.0,0.2,120.0,-1.0
130.0,0.0,0.0,130.0,1.0,0.0,0.31299503769580084,0.0,?,0.0,0.2,130.0,-1.0
140.0,0.0,0.0,140.0,1.0,0.0,0.31160555142564883,0.0,?,0.0,0.2,140.0,-1.0
150.0,0.0,0.0,150.0,1.0,0.0,0.31548800064396687,0.0,?,0.0,0.2,150.0,-1.0
160.0,0.0,0.0,160.0,1.0,0.0,0.31895887438578024,0.0,?,0.0,0.2,160.0,-1.0
170.0,0.0,0.0,170.0,1.0,0.0,0.3293554281268907,0.0,?,0.0,0.2,170.0,-1.0
180.0,0.0,0.0,180.0,1.0,0.0,0.33571767691717597,0.0,?,0.0,0.2,180.0,-1.0
190.0,0.0,0.0,190.0,1.0,0.0,0.33280899063976227,0.0,?,0.0,0.2,190.0,-1.0
200.0,0.0,0.0,200.0,1.0,0.0,0.33277671421605687,0.0,?,0.0,0.2,200.0,-1.0
210.0,0.0,0.0,210.0,1.0,0.0,0.3382766739777319,0.0,?,0.0,0.2,210.0,-1.0
220.0,0.0,0.0,220.0,2.0,0.0,0.3373237119709254,0.0,?,0.0,0.2,220.0,-1.0
230.0,0.0,0.0,230.0,2.0,0.0,0.3358137336828076,0.0,?,0.0,0.2,230.0,-1.0
240.0,0.0,0.0,240.0,2.0,0.0,0.33784674371399,0.0,?,0.0,0.2,240.0,-1.0
250.0,0.0,0.0,250.0,2.0,0.0,0.34030733172338773,0.0,?,0.0,0.2,250.0,-1.0
260.0,0.0,0.0,260.0,2.0,0.0,0.34051879155796827,0.0,?,0.0,0.2,260.0,-1.0
270.0,0.0,0.0,270.0,2.0,0.0,0.33817081687211736,0.0,?,0.0,0.2,270.0,-1.0
280.0,0.0,0.0,280.0,2.0,0.0,0.34004395714599794,0.0,?,0.0,0.2,280.0,-1.0
290.0,0.0,0.0,290.0,2.0,0.0,0.3418754094086927,0.0,?,0.0,0.2,290.0,-1.0
300.0,0.0,0.0,300.0,2.0,0.0,0.3399236443193128,0.0,?,0.0,0.2,300.0,-1.0
310.0,0.0,0.0,310.0,2.0,0.0,0.34152828489854686,0.0,?,0.0,0.2,310.0,-1.0
320.0,0.0,0.0,320.0,2.0,0.0,0.33951369650423974,0.0,?,0.0,0.2,320.0,-1.0
