learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,prediction error (average),true changes,delay detection (average),true changes detected,input values,model training instances,model serialized size (bytes)
10.0,0.0,0.0,10.0,0.0,0.0,0.35023809523809524,0.0,?,0.0,0.2,10.0,-1.0
20.0,0.0,0.0,20.0,0.0,0.0,0.36686401296501914,0.0,?,0.0,0.2,20.0,-1.0
30.0,0.0,0.0,30.0,0.0,0.0,0.3384182193783604,0.0,?,0.0,0.2,30.0,-1.0
40.0,0.0,0.0,40.0,0.0,0.0,0.3166946626627273,0.0,?,0.0,0.2,40.0,-1.0
50.0,0.0,0.0,50.0,0.0,0.0,0.3004113742785485,0.0,?,0.0,0.2,50.0,-1.0
60.0,0.0,0.0,60.0,0.0,0.0,0.28764293472266916,0.0,?,0.0,0.2,60.0,-1.0
70.0,0.0,0.0,70.0,0.0,0.0,0.27834152825043257,0.0,?,0.0,0.2,70.0,-1.0
80.0,0.0,0.0,80.0,0.0,0.0,0.2973011608064458,0.0,?,0.0,0.2,80.0,-1.0
90.0,0.0,0.0,90.0,0.0,0.0,0.29109773395993316,0.0,?,0.0,0.2,90.0,-1.0
100.0,0.0,0.0,100.0,0.0,0.0,0.2922446248692944,0.0,?,0.0,0.2,100.0,-1.0
110.0,0.0,0.0,110.0,0.0,0.0,0.2804771582059824,0.0,?,0.0,0.2,110.0,-1.0
120.0,0.0,0.0,120.0,0.0,0.0,0.28144815849054705,0.0,?,0.0,0.2,120.0,-1.0
130.0,0.0,0.0,130.0,0.0,0.0,0.2877136797813626,0.0,?,0.0,0.2,130.0,-1.0
140.0,0.0,0.0,140.0,0.0,0.0,0.2838034671206422,0.0,?,0.0,0.2,140.0,-1.0
150.0,0.0,0.0,150.0,0.0,0.0,0.3026232487935108,0.0,?,0.0,0.2,150.0,-1.0
160.0,0.0,0.0,160.0,0.0,0.0,0.3037292512558205,0.0,?,0.0,0.2,160.0,-1.0
170.0,0.0,0.0,170.0,0.0,0.0,0.30468191420820034,0.0,?,0.0,0.2,170.0,-1.0
180.0,0.0,0.0,180.0,0.0,0.0,0.30875470832401297,0.0,?,0.0,0.2,180.0,-1.0
190.0,0.0,0.0,190.0,0.0,0.0,0.3126406598630115,0.0,?,0.0,0.2,190.0,-1.0
200.0,0.0,0.0,200.0,0.0,0.0,0.3101072037803641,0.0,?,0.0,0.2,200.0,-1.0
210.0,0.0,0.0,210.0,0.0,0.0,0.3076516701942327,0.0,?,0.0,0.2,210.0,-1.0
220.0,0.015625,-4.042198674546348E-15,220.0,0.0,0.0,0.31368854427561776,0.0,?,0.0,0.2,220.0,-1.0
230.0,0.015625,-4.042198674546348E-15,230.0,0.0,0.0,0.31671839943852426,0.0,?,0.0,0.2,230.0,-1.0
240.0,0.015625,-4.042198674546348E-15,240.0,0.0,0.0,0.3145761370346087,0.0,?,0.0,0.2,240.0,-1.0
250.0,0.015625,-4.042198674546348E-15,250.0,0.0,0.0,0.31967500599673015,0.0,?,0.0,0.2,250.0,-1.0
260.0,0.015625,-4.042198674546348E-15,260.0,0.0,0.0,0.31539050596433804,0.0,?,0.0,0.2,260.0,-1.0
270.0,0.015625,-4.042198674546348E-15,270.0,0.0,0.0,0.3134511918286956,0.0,?,0.0,0.2,270.0,-1.0
280.0,0.015625,-4.042198674546348E-15,280.0,0.0,0.0,0.3115427874864187,0.0,?,0.0,0.2,280.0,-1.0
290.0,0.015625,-4.042198674546348E-15,290.0,0.0,0.0,0.3118177273410077,0.0,?,0.0,0.2,290.0,-1.0
300.0,0.015625,-4.042198674546348E-15,300.0,0.0,0.0,0.31804723149548875,0.0,?,0.0,0.2,300.0,-1.0
310.0,0.015625,-4.042198674546348E-15,310.0,0.0,0.0,0.3201931545656024,0.0,?,0.0,0.2,310.0,-1.0
320.0,0.015625,-4.042198674546348E-15,320.0,0.0,0.0,0.3222513397415549,0.0,?,0.0,0.2,320.0,-1.0
330.0,0.015625,-4.042198674546348E-15,330.0,0.0,0.0,0.32240589938339187,0.0,?,0.0,0.2,330.0,-1.0
340.0,0.015625,-4.042198674546348E-15,340.0,0.0,0.0,0.3225703496754187,0.0,?,0.0,0.2,340.0,-1.0
350.0,0.015625,-4.042198674546348E-15,350.0,0.0,0.0,0.3243974400547802,0.0,?,0.0,0.2,350.0,-1.0
360.0,0.015625,-4.042198674546348E-15,360.0,0.0,0.0,0.32288075410887906,0.0,?,0.0,0.2,360.0,-1.0
370.0,0.015625,-4.042198674546348E-15,370.0,0.0,0.0,0.32141806897888936,0.0,?,0.0,0.2,370.0,-1.0
380.0,0.015625,-4.042198674546348E-15,380.0,0.0,0.0,0.3230856347846492,0.0,?,0.0,0.2,380.0,-1.0
390.0,0.015625,-4.042198674546348E-15,390.0,0.0,0.0,0.3216732527111647,0.0,?,0.0,0.2,390.0,-1.0
400.0,0.015625,-4.042198674546348E-15,400.0,0.0,0.0,0.32175183190179546,0.0,?,0.0,0.2,400.0,-1.0
410.0,0.015625,-4.042198674546348E-15,410.0,0.0,0.0,0.3232805438146733,0.0,?,0.0,0.2,410.0,-1.0
420.0,0.015625,-4.042198674546348E-15,420.0,0.0,0.0,0.32335618972831576,0.0,?,0.0,0.2,420.0,-1.0
430.0,0.015625,-4.042198674546348E-15,430.0,0.0,0.0,0.3234119939885878,0.0,?,0.0,0.2,430.0,-1.0
440.0,0.015625,-4.042198674546348E-15,440.0,0.0,0.0,0.32345612935728396,0.0,?,0.0,0.2,440.0,-1.0
450.0,0.015625,-4.042198674546348E-15,450.0,0.0,0.0,0.3221939911294718,0.0,?,0.0,0.2,450.0,-1.0
460.0,0.015625,-4.042198674546348E-15,460.0,0.0,0.0,0.32224847699275844,0.0,?,0.0,0.2,460.0,-1.0
